Energy	Hydrogen	Helium	Lithium	Beryllium	Boron	Carbon	Nitrogen	Oxygen	Fluorine	Neon	Sodium	Magnesium	Aluminum	Silicon	Phosphorus	Sulfur	Chlorine	Argon	Potassium
3	4.46E-05	3.31E-04	4.054477802	39.52095829	1.11E+02	204.6871869	0.169622375	0.288955355	0.519829137	0.364580161	490.7570277	1144.467712	2127.538862	2269.811133	2034.681132	2677.862864	4.410125214	0.282965201	195.826234
3.1	4.30E-05	3.01E-04	3.661783314	35.72506449	1.00E+02	185.4802781	0.153961222	0.262729873	0.47348571	0.332634569	448.4238598	1046.937655	1950.117916	2083.522562	1870.739721	2464.771523	4.06113789	0.258635122	179.0285021
3.2	4.16E-05	2.75E-04	3.318511185	32.39876135	9.13E+01	168.5595789	0.140132422	0.239517135	0.432364956	0.304225097	410.7072961	960.0103463	1791.402882	1916.573752	1723.485618	2273.163942	3.747730895	0.23703332	164.1100893
3.3	4.03E-05	2.52E-04	3.017183114	29.4719967	8.32E+01	153.6013088	0.127881385	0.218907161	0.395771735	0.278890539	377.0145706	882.3152531	1649.079207	1766.611167	1590.934827	2100.50535	3.465573686	1.981812418	150.8120561
3.4	3.92E-05	2.31E-04	2.751631566	26.88684579	7.60E+01	140.3340801	0.11699381	0.20055325	0.36311534	0.256237299	346.8382717	812.682753	1521.151228	1631.599221	1471.363456	1944.591247	3.210932982	1.851792126	138.9174422
3.5	3.83E-05	2.14E-04	2.516740417	24.59513837	6.96E+01	128.5294893	0.107288636	0.184161263	0.333892409	0.23592867	319.7431044	750.111924	1405.895485	1509.774925	1363.272181	1803.502489	2.980583185	1.731698486	128.2434992
3.6	3.75E-05	1.98E-04	2.308242452	22.55660059	6.39E+01	117.9945412	0.098612337	0.169480832	0.307672775	0.217675881	295.3547712	693.7437971	1301.820898	1399.608922	1265.355362	1675.566235	2.771730828	1.620766814	118.6355287
3.7	3.67E-05	1.84E-04	2.122560099	20.73738954	5.88E+01	108.5655257	0.090834259	0.156298158	0.284087758	0.201230629	273.3506428	642.8391288	1207.634883	1299.772156	1176.474343	1559.322175	2.581950871	1.518275407	1003.265731
3.8	3.60E-05	1.71E-04	1.956679316	19.10892984	5.43E+01	100.1030504	0.083842829	0.144430083	0.262820455	0.186378837	253.4519336	596.7599057	1122.214595	1209.107419	1095.634464	1453.493438	2.40913299	1.423548303	938.2969724
3.9	3.54E-05	1.60E-04	1.808049078	17.64698404	5.02E+01	92.4879948	0.077542438	0.133719195	0.243597679	0.172935449	235.4171363	554.9539302	1044.582534	1126.605104	1021.965319	1356.961581	2.251436251	1.3359562	878.7248895
4	3.49E-05	1.50E-04	1.674500791	16.33090553	4.65E+01	85.6182026	0.07185089	0.124029799	0.226183257	0.160740068	219.0365081	516.9419473	973.8858502	1051.382556	954.7038242	1268.745126	2.107250807	1.254916053	824.0188202
4.1	3.44E-05	1.41E-04	1.554183282	15.14303451	4.31E+01	79.40576677	0.066697284	0.115244558	0.210372439	0.149653304	204.1274343	482.3068709	909.3787967	982.6664814	893.1797048	1187.981154	1.975165493	1.179889735	773.7064429
4.2	3.40E-05	1.33E-04	1.445510101	14.06820717	4.01E+01	73.77479286	0.062020278	0.107261715	0.195987222	0.139553708	190.5305224	450.6847455	850.4078188	919.7779578	836.8030615	1113.909512	1.853940355	1.110382081	727.3669703
4.3	3.36E-05	1.25E-04	1.347116543	13.09335474	3.73E+01	68.65954922	0.057766635	0.099992769	0.182872443	0.130335191	178.1063063	421.7571445	796.3988835	862.1196518	785.0537104	1045.859265	1.742483324	1.045938541	684.6251301
4.4	3.33E-05	1.18E-04	1.257824452	12.20717421	3.48E+01	64.00293168	0.053890018	0.093360531	0.17089249	0.121904849	166.7324602	395.2447619	746.8466909	809.1649006	737.4720393	983.2370709	1.639830365	0.986142616	645.1458541
4.5	3.29E-05	1.12E-04	1.176613242	11.39985693	3.25E+01	59.75518455	0.05034998	0.087297501	0.159928531	0.114181127	156.3014362	370.9019949	701.3054745	760.4483774	693.651155	925.5171766	1.545128545	0.930613206	608.6296022
4.6	3.27E-05	1.07E-04	1.102595943	10.66286366	3.05E+01	55.8728314	0.04711112	0.081744492	0.149876177	0.107092257	146.71846	348.5123521	659.3811424	715.5580962	653.2301327	872.2328197	1.457621568	0.879001962	574.8082498
4.7	3.24E-05	1.02E-04	1.034999301	9.988737414	2.85E+01	52.31777827	0.044142371	0.076649473	0.140643506	0.100574936	137.8998233	327.8845528	620.7245523	674.1285535	615.888204	822.9688143	1.376637385	0.830990699	543.4414729
4.8	3.21E-05	9.71E-05	0.973147188	9.370947202	2.68E+01	49.05655879	0.041416397	0.071966598	0.13214938	0.094573206	129.7714279	308.8492032	585.0257444	635.8348335	581.3397455	777.355154	1.301577555	0.786288921	514.3135726
