Energy	Ytterbium	Lutetium	Hafnium	Tantalum	Tungsten	Rhenium	Osmium	Iridium	Platinum	Gold	Mercury	Thallium	Lead	Bismuth	Polonium	Astatine	Radon	Francium	Radium	Actinium	Thorium	Protactinium	Uranium
3	11447.1952958022	16843.4975494747	23107.7225095318	30602.6067363434	36708.3964846381	41451.2713549978	45693.0181992775	41578.08	2084756.99315396	39580.1392485711	28711.941667874	25934.0502662239	22271.3192912415	20119.1070173231	20283.8617882013	14611.8009164178	15.12042	5782.6	3665.2	6974.43676544885	8400.6	11517.7286756366	14391.9719964521
3.1	10591.6191791287	15588.6300149539	21387.7988609276	28329.6312248016	33992.2890346072	38399.7984490272	42347.2192873421	41578.08	1927125.18549486	36540.9711311052	26512.350410429	23943.6120812777	20403.5021046021	18559.1746782672	18485.8208271855	12640.2567314247	14.82852	4202.1	3392.95	6496.74575752397	8400.6	10700.8954143669	13356.9739128653
3.2	9820.20507933811	14456.7780192564	19836.5861917741	26279.1477490094	31540.8219247972	35643.4576708304	39322.8929058579	40782.5653634842	1788436.0100764	35899.72145677	24527.545048068	22148.4523269648	21972.3758100924	17036.8286903844	17061.4894947288	11459.2108711589	19.5308335995033	6120.63377337858	8001.18961686924	6075.05783653951	6635.07	9976.204698026	12436.44808157
3.3	9122.94397713371	13433.3697353474	18434.055214861	24424.8027703664	29322.8316854918	33147.8507835076	36582.8834576801	37941.8176554373	1666413.12862949	33373.9862563581	22736.5521473992	20529.4125758803	20386.8763022618	18331.587141161	15933.1949849799	10751.7099514898	17.632070165969	5546.55020736768	7218.37004798126	14045.1191759259	15387.6290814972	9333.2624241839	11617.733709515
3.4	8491.19091769667	12505.8096979276	17162.9041851609	22743.8219257472	27311.3554817929	30883.1509071621	34094.9191229768	35363.1244382666	1414998.50702008	31137.9029160068	22477.6800803392	19069.2140006313	18942.8651787906	17052.6356470206	17140.0283547424	10327.8842829252	16.0794739960633	5059.62688491916	9881.57835437445	12862.6689818294	14249.1299732842	8762.84699292176	10889.5703052721
3.5	7917.46027679601	11663.1839920109	16008.1494039345	21216.4744472558	25483.0088555401	28823.4387380792	31830.9133814936	33017.1001955182	1414998.50702008	30335.7772271083	20989.6940886411	18843.9389711698	17627.7161583021	15882.4729525208	15975.5796914525	11223.8584856324	14.809934661024	4646.63070112002	9126.91869318299	17290.5608204409	20336.1754140131	19919.8017595086	10241.9428036958
3.6	7395.25368336771	10896.0120695051	14956.7811541093	19825.6227836783	23817.4610454785	26946.1397940806	29766.3704546376	30878.1548682962	1414998.50702008	28391.0733296146	19654.4600563021	17622.7823397366	16429.9297160936	14811.8453815201	14909.2445759496	10455.1340064602	15.9568707513833	4296.3376673525	8458.14713279608	16084.3580524304	19012.8135613618	18397.7169854879	9665.94382001443
3.7	6918.9152877465	10196.0377087731	13997.4743806177	18556.3435992163	22296.9924091182	25231.5474498286	27879.8796053094	28923.9509363642	1325806.50256456	26611.4576760859	19215.6619005286	16537.0491631698	16346.8749811995	13832.2863841478	13932.756204756	9765.71926606637	14.9292755469839	3999.22787719102	7865.48871605203	14995.6723043106	17790.7165170952	24585.532684021	21454.4343779303
3.8	6483.50988651136	9556.05276238587	13120.3450997249	17395.6084605129	20906.1207572562	23662.418544584	26152.6850438965	27134.9436314578	1244114.2102207	24979.9038397666	18047.3146062765	16206.87839	15343.4101300761	13762.0144334308	13038.5443146912	9147.43183389799	13.9837598748588	4351.84777	7340.28097735219	14013.0542158827	16662.1354093557	23011.2685428996	28516.006005254
3.9	6084.72013711074	8969.74834133857	12316.7449825474	16332.0143996918	19631.285458805	22223.6302367487	24568.3199600265	25493.9911540826	1169148.82207149	23481.4057121227	16972.5521764961	15243.43919	14422.7763832281	12939.5730962387	12219.6764941191	8592.93346538475	13.1137676031874	4082.21117	8003.78699110328	13126.1699066378	15619.9143167494	21568.1414000808	26743.3760909091
4	5718.75971655058	8431.58895289028	11579.0878105296	15355.5561554927	18460.5799572442	20901.8884818855	23112.2948384014	23986.0237869797	1100230.10546639	22102.7126473275	15982.3268265278	14355.72886	14180.7659220127	12174.7615268381	12210.6152308289	8095.64300679411	12.3132662735089	3833.72745	7521.7845310151	14363.8716070705	14657.444895257	20245.2274773529	25119.3638947175
4.1	5382.29980499826	7936.7058499331	10900.7025600084	14457.4332636576	17383.5248678527	19685.4800039444	21771.8316827701	22597.7625543863	1036757.9807105	20832.101591578	15068.5888072436	13536.53355	13371.8740260443	11978.5754812632	11511.1426969603	8107.77675698058	11.5767052721267	3604.73716	7075.60743878221	13552.0130105149	16030.0721148696	19032.5129527486	23631.5092714621
