	Air	Blood	Brain	Breast	Bone	CdTe	GaAs	Glass (Pyrex)	Muscle	Polyethylene Terephthalate	Polymethyl Methacrylate	Polytetrafluoroethylene	Polyvinyl Chloride	Soft Tissue	Water	Adipose Tissue	PLA
										Mylar	PMMA	Teflon	PVC				
3	0.199247602033787	197.859096636909	199.413630391677	157.690743139808	567.949736223764	3654.33152201604	5151.75155136274	1162.78477914917	190.187270301463	177.74273002074	147.082614660948	542.468021985144	1223.44831954603	195.096680726518	192.897873382577	112.859004003242	142.218882166827
3.1	0.180766195101069	179.978796920409	181.463394320147	143.328796142833	518.073450856049	3395.30291653463	4729.17706535423	1057.10484503162	173.719348473342	161.36602983837	133.541064219915	493.836225731266	1126.36695835285	177.468323783393	175.379361152251	102.490284032323	129.239890706464
3.2	0.164435653557926	164.058932692919	165.459855689338	130.628266354187	473.658050209742	3173.57839998882	4351.82582996999	963.305677215626	159.050634348529	146.903190857045	121.579705079282	450.728328450455	1039.12270428298	161.773615452747	159.877565042319	93.3302067256908	117.784044371552
3.3	0.166974479619801	149.884557484442	151.191895775763	119.360628514458	434.105629655003	2983.78561186758	4013.841751895	880.051614309173	145.949553739625	134.088425643127	110.979640877984	412.400990784819	960.538796420087	147.800454461127	146.117054241902	85.2114009689606	107.63364744936
3.4	0.153212921511473	137.26429202993	138.471291614914	109.333175300874	398.883748303607	2821.32589390765	3710.24399558243	806.157152856925	134.217986424196	122.698011572977	101.556489204662	378.224247783065	889.595775152709	135.360004853249	133.865142544099	77.9928956457086	98.6073413639438
3.5	0.140889934698621	126.027740308971	127.13023296342	100.382816819017	367.51826147544	2682.26286511248	3436.78090915385	740.570066260886	123.686053871666	112.542932621014	93.1543762607935	347.662558557051	825.409095438878	124.284144026987	122.924588783789	71.5555205844425	90.5532202892047
3.6	0.12982729555395	116.023188896572	117.01910854588	92.371035575309	339.586937928211	4623.39647042377	3189.81048064602	682.356421508413	114.207746779304	103.46290871836	85.6410555112472	320.259225204519	767.209935828881	114.423190692547	113.12763199753	65.7981702286197	83.3433970614432
3.7	0.119871806976183	109.14505	111.382807076487	85.1797707192867	314.713775927762	4318.60640290807	2966.20219733999	651.657581057586	105.657260971169	95.3215370895426	78.9039294883459	295.623564242919	714.328796917505	108.7624695485	104.331107103528	60.6347598824241	76.8696848953976
3.8	0.110891449876789	100.94387	102.984890450883	78.7080505756275	292.56394164388	5038.99353933247	2763.25621149715	605.535116709966	97.9259273725283	88.0023261480284	72.8467981862909	273.420324642349	666.181509148929	100.597942152059	96.4124355762888	55.9917387141411	71.040143855809
3.9	0.102772162775717	93.53283	95.4049342468741	72.8692288640837	272.839261734081	4747.4504274581	2578.63653702474	563.603261273665	90.9196383992504	81.4054473821023	67.3871930804852	253.360939745015	622.257306662184	93.2208382797564	89.2663254612217	51.8060512228508	65.7763021829579
4	0.0954151445329963	86.82066	88.5466001515208	67.5887090784915	255.274209438086	4536.9405314182	2410.31565443667	525.406693168526	84.5566882736775	75.4450662880378	62.4541842420739	235.196277483524	582.108664032911	86.5398901719033	82.802047402032	48.023460810931	61.0109077500625
4.1	0.0887345922290357	80.72819	82.3267145125298	62.8020646450975	615.682718587996	4383.71577398312	2256.52842006851	490.546538053096	78.7659581363958	70.0471416253946	57.9865706454968	218.710616473748	545.342632311729	80.476019036725	76.9411793976665	44.5971665295177	56.6860985777389
4.2	0.0826558008712941	75.1866	76.6732404241518	58.4534808789607	579.153501763119	4271.3287645063	2115.73358757123	458.672664831826	73.4853883184668	65.147604594019	53.9313817375612	203.716626941408	511.613447562816	74.9605149535225	71.6157339065209	41.4866578826751	52.7519065790823
4.3	0.0771135640547311	70.13587	71.5235944718057	54.4944593727085	545.351688719696	4188.28917753811	1986.58157748502	429.477102553462	68.6606898817506	60.6908471951947	50.2426326007303	190.051177067276	480.616218205778	69.9335136126405	66.7665976548892	38.6567635315167	49.1650277914147
4.4	0.0720508251535387	65.52356	66.8232445932862	50.8827370677437	514.04173781541	4126.50248928132	1867.88739185386	402.68841054536	64.2442557086146	56.6284630265045	46.8802863702481	177.571818976405	452.081526574785	65.3427180694427	62.3422279029192	36.0768584305865	45.8878068722005
4.5	0.0674175373260827	61.30368	62.5245380431838	47.5813815006684	485.010069091044	5348.91650077842	1758.60777935715	378.066858500701	60.1942382317003	52.9181948532665	43.8093865695734	166.15383575434	425.770805326444	61.1423231891463	58.2975596445171	33.7202008325734	42.8873947596524
4.6	0.0631696978280347	57.43587	58.5857183671558	44.5580310845959	458.063037059724	5076.33947685885	1657.82192331685	355.400294600713	56.4737665408863	49.5230521152409	40.9993291995034	155.687752794163	401.472370943558	57.2921081701117	54.5930868089768	31.56337609144	40.1350469718034
4.7	0.0592685280859371	53.88455	54.9700981705946	41.7842551691272	433.025053976357	5666.81345489422	1564.71505884871	334.500598240687	53.0502802727509	46.410568549677	38.4232501387325	146.077234482637	378.998014973609	53.7566687906704	51.1940874253565	29.5858285757763	37.6055366653218
4.8	0.0556797758936398	50.61834	51.6453607419755	39.2350133337084	409.736865107432	5448.4294512568	1478.56453317856	315.200629778405	49.8949615404402	43.5521757200388	36.0575079908788	137.237301548581	358.180069208852	50.5047661051427	48.0699682515558	27.7694665074332	35.2766617591603
4.9	0.052373120137099	47.60947	48.5829686066607	36.8881971505009	388.053972684581	5236.66600465937	1398.72791009719	297.351603224841	46.9822493387079	40.9226727311079	33.8812461838269	129.092815988615	338.868874145926	47.5087724438405	45.1937088334341	26.0983273488476	33.1288294926857
5	0.0493216617811863	44.83332	45.7576611083708	34.7242406964861	367.845202096932	5031.66689611994	1324.63278990422	280.820819245145	44.2894234782061	38.4997760184438	31.8760210791518	121.577189889502	320.930591112708	44.744198932388	42.5413885631184	24.5582936200679	31.1447049916159
5.1	0.046501487592684	42.26802	43.1470263505495	32.7257885511883	348.991401983802	4833.52137841461	1255.7680733215	265.489705514752	41.7962472635864	36.2637360060478	30.0254852299443	114.631282111295	304.245307735197	42.1892914853165	40.091783222686	23.1368508466024	29.3089129529425
5.2	0.0438912953319928	39.8941	40.731135440813	30.8774120050511	331.384268875063	4642.26972864077	1191.67644437407	251.252119638082	39.4846599134706	34.1970097739733	28.3151168507117	108.202453024116	288.705394213857	39.8246844665928	37.8260198667062	21.8228808109474	27.6077835801199
5.3	0.0414720710091264	37.69417	38.4922290958824	29.1653658180388	314.925286627603	4457.90874618777	1131.94788522597	238.012876714003	37.338511194322	32.2839807804906	26.7319881248264	102.243752578116	274.214074424502	37.6331030412741	35.7272808234447	20.6064844742389	26.0291355152463
5.4	0.0392268103386207	35.6527	36.414448381926	27.5773791826804	299.524770927575	4280.39709150309	1076.21406707646	225.686469422018	35.3433319601201	30.5107182302883	25.2645662456195	96.7132211503243	260.684181355571	35.5991067448798	33.7805491662947	19.4788299053879	24.562089812553
5.5	0.0371402778013542	33.75578	34.4836027649936	26.1024756194001	285.101009427381	4109.66038521847	1024.14348678758	214.195953377228	33.4861353009054	28.8647699415076	23.9025421240239	91.5732860296999	248.037071012395	33.7088680323059	31.972389292988	18.4320213471935	23.1969100442741
5.6	0.0351987977766784	31.99093	32.6869697906087	24.7308174113363	271.579488560679	3945.59600893319	975.437239978144	203.471974606421	31.75524384289	27.334983595972	22.6366825441782	86.7902392134925	236.201672803281	31.9499805860775	30.2907573052342	17.458986197131	21.9248644778443
5.7	0.033390073084589	30.34694	31.013121650105	23.4535709081807	258.892198654513	3788.07756792859	929.825338726508	193.451919455785	30.1401394413044	25.9113521031542	21.4587022448315	82.3337845074949	225.113657692389	30.3112930046696	28.7248367494579	16.5533772124932	20.7381069528981
5.8	0.0317030270067434	28.81368	29.4517746633181	22.2627896236251	246.977009583418	3636.95899221059	887.063496448746	184.079170156815	28.6313320893199	24.584879504576	20.3611529776457	78.1766438408673	214.714708160771	28.7827641879899	27.2648959953958	15.7094876874268	19.6295736494231
5.9	0.0301276654628945	27.38206	27.9936583442323	21.1513125425884	235.777109850179	3492.0782656049	846.930314506125	175.302451738556	27.2202453525911	23.3474644197213	19.3373270667144	74.2942142965198	204.951876343629	27.3553373151658	25.9021641216602	14.922177710839	18.5928933996201
6	0.0286549565269964	26.04384	26.6304012432725	20.1126754616411	225.240502608008	3353.26078333606	809.224815084343	167.075258054612	25.8991160458382	22.1917985098034	18.3811733853418	70.6642686798857	195.777018678613	26.0208297907788	24.6287226686751	14.1868099133343	17.6223095752478
6.1	0.0272767248921976	24.79156	25.3544311973524	19.141033524344	215.319552743608	3220.32234684982	773.764273232706	159.355346453785	24.6609062090873	21.1112778300725	17.4872239912907	67.2666935503747	187.146297065119	24.7718369368977	23.4374110279616	13.4991933596788	16.7126118951279
6.2	0.0259855592504063	23.61848	24.1588879828058	18.2310933949928	205.970579710528	3093.07181087099	740.382307942805	152.104292115024	23.4992257278995	20.0999252694509	16.6505299323521	64.0832595599091	179.019737946579	23.6016475437237	22.3217435774037	12.8555344499879	15.8590767565137
6.3	0.0247747308517507	22.51846	23.0375466700873	17.3780537495837	197.153491332189	2971.31340212257	708.927198018188	145.287094333421	22.4082641833504	19.1523225499958	15.8666049599459	61.0974197134321	171.360841927118	22.5041696728037	21.2758369568787	12.2523938653248	15.0574149091348
6.4	0.0236381217616593	21.48593	21.9847502332898	16.5775529598442	188.831454281823	2854.84873205687	679.260393430604	138.871828120115	21.3827307212454	18.2635504876388	15.1313760774393	58.2941318130432	164.136237554451	21.4738653429557	20.2943461172669	11.6866487377271	14.3037254699427
6.5	0.0225701615463418	20.51582	20.9953501807371	15.8256230115636	180.970597392111	2743.4785276399	651.255197031613	132.829335395116	20.4178009023186	17.4291364076402	14.4411400083838	55.6597018916056	157.315373770639	20.5056929279113	19.3724079763168	11.1554593457436	13.5944554263106
6.6	0.0215657712976707	19.6035	20.0646541522294	15.1186488376293	173.539744351758	2637.00410493563	624.79559501923	127.132950833263	19.5090696411176	16.6450077696015	13.7925248031754	53.1816459006304	150.870246274905	19.5950562625106	18.505591683657	10.6562397383714	12.9263639009203
6.7	0.0206203140612184	18.74476	19.1883795797098	14.4533323635671	166.510172711663	2535.22861017586	599.775217553848	121.758258090722	18.6525094652022	15.9074511929045	13.1824559150054	50.8485673052014	144.775153677775	18.7377595962372	17.6898546397398	10.1866317761114	12.2964905570105
