Energy	Zirconium	Tin	Calcium	Scandium	Titanium	Vanadium	Chromium	Manganese	Iron	Cobalt	Nickel	Copper	Zinc	Gallium	Germanium	Arsenic	Selenium	Bromine	Krypton	Rubidium	Strontium	Yttrium	Niobium	Molybdenum	Technetium	Ruthenium	Rhodium	Palladium	Silver	Cadmium	Indium	Antimony	Tellurium	Iodine	Xenon	Cesium	Barium	Lanthanum	Cerium	Praseodymium	Neodymium	Promethium	Samarium	Europium	Gadolinium	Terbium	Dysprosium	Holmium	Erbium	Thulium
3	11500.0077689163	4468.83135156287	414.752623611567	876.524672274336	1496.981184922	2171.30033249479	3117.84992138566	3604.18371355758	4390.39642578049	5430.22828946487	6315.72348527395	6709.24512	5934.03656361054	5207.90228229563	5116.97870919329	2066.52076114356	5377.98252139176	3839.46583156861	4.89240993438631	2169.51932983058	4025.96261627628	7393.2835682429	16333.9259057716	20672.3603354208	24506.374788869	24618.3807071516	18840.2965093477	5630.81744908154	5398.59188765167	4713.53118986116	4251.93996389845	4373.18025010241	4238.00337423445	3657.6702450636	4.4856522953367	1567.47704338142	3051.29763685346	5725.52987979085	6652.85274857831	7084.55334050621	7656.29507857571	7516.31446792556	8987.84118545969	6610.29372941734	10213.4943385385	11198.9685448123	12083.2081839881	12511.5182852618	13367.4791347237	14860.0901125404
3.1	10593.8391104272	4117.11681281968	379.328591600352	801.831516384351	1369.78028938164	1986.61127368593	2854.48457930233	3302.09008744103	4022.74522479648	4976.56621154129	5788.9641425043	6151.75759	5442.81515079623	4778.65082195858	4697.36626923226	1897.67920905704	4940.9984795457	3529.47176132478	4.49950467941844	1996.41008198969	3707.75718530772	6811.12287862819	15048.5949590869	19054.2734867025	22614.1197543429	23339.532206691	17256.5973409572	5182.69476269299	4969.61065436146	4341.00297565092	3916.32896348582	4030.00790475529	3905.95017173536	3371.57159026537	4.13578018709046	1445.78105442268	2815.03789329928	5281.84152032919	6138.60834448456	6537.49934893709	7067.00013105678	6939.15842226947	8298.93294471791	6103.5772634376	9430.54256890948	10344.0254910186	11163.0376673145	11561.6862313005	12356.1448101085	13739.6929027121
3.2	9780.31005354599	3802.09588353537	347.882182938705	735.510108054195	1256.79807917598	1822.56262702334	2620.41258597755	3032.76908103719	3695.1187306922	4572.35000658561	5319.66710288586	5654.80446	5004.74105585701	4395.57986043294	4322.6163923186	1746.82298738686	4550.22820068852	3251.98177166475	4.14754464037229	1841.19069068846	3422.00129635807	6288.15307908202	13894.7625047199	17600.830341939	20910.6325160552	22096.1427784659	15863.5407779185	4781.37640729985	4585.3540188229	4007.43152946801	3615.73076351479	3722.64116875072	3608.61999720483	3115.37294636511	3.8223041729045	1336.66350225655	2603.15058758598	4884.13061591276	5677.48173822829	6046.93936666184	6538.39271860381	6421.28167195653	7680.63259045915	5648.72717232158	8727.50695081749	9576.07574691642	10336.0258044151	10707.6500522255	11446.5020518469	12731.5760111124
3.3	9048.06811828398	3519.00001049264	319.864845341532	676.40827432715	1156.08252347373	1676.33949295221	2411.63113414973	2791.95632776921	3402.26102779103	4211.0507057761	4900.21845207842	5210.41089	4612.83858683276	4052.67300506298	3986.92977004808	1611.6364361221	4199.7773542777	3002.89708065887	3.83140500148774	1701.64642330783	3164.75053201383	5817.19712522362	12856.2699365871	16291.9218904004	19373.4883453909	20893.5642038042	20371.4778705612	14788.6351453148	4240.00203662985	3707.73990140949	3345.59197726415	3446.42956071406	3341.50413499902	2885.19821745296	3.54052071771637	1238.5055216646	2412.5060688658	4526.49029199263	5262.66917467288	5605.65057748339	6062.73413513719	5955.14860235926	7123.99380416777	5239.20317503963	8094.39058149116	8884.24879408807	9590.62926225732	9937.59581110308	10626.0424474568	11821.9760821284
3.4	8387.34500190862	3263.79446717005	294.816842772221	623.559951608392	1065.99613768104	1545.5749325641	2224.77941327339	2576.022678675	3139.71120679869	3887.13681859265	4524.17464410949	4811.81909	4261.19230900645	3744.81959190538	3685.37162915556	1490.14752568391	3884.61565448254	2778.7107804906	3.54669408078168	1575.87481262919	2932.60283942358	5392.0626564611	11919.2248539202	15110.2390689685	17983.2665158797	19735.9584719791	18925.8827017663	18881.0142423477	3928.63306815651	3437.63502860679	3102.06087619553	3197.43744278759	3100.78533049109	2677.76421140256	3.28644429761376	1149.93477504497	2240.45001620057	4203.90831335424	4888.39430481166	5207.49724035501	5633.44734534319	5534.35063898432	6621.40234256462	4869.43097735977	7522.6537980416	8259.25980422154	8916.96841405022	9241.40222153798	9884.04544831015	10999.0896121276
3.5	7789.71451348975	3033.04900311608	272.350875864581	576.15095586339	985.158273730859	1428.26926234162	2057.02139118399	2381.86948945925	2903.66928127146	3595.90353872725	4186.06028247272	4453.27993	3944.76632499761	3467.66218852125	3413.72796720662	1380.6710254425	3600.43622562338	2576.41341111062	3.28963778204152	1462.23740062402	2722.61762800386	5007.39541092697	11071.6519647972	14040.8453557432	16723.1164776111	18626.3742531661	20194.7495813053	17630.7200347018	12031.8027500295	3193.46902555884	2881.86347174874	2972.31822445217	2883.21661080287	2490.27709735794	3.05668215468676	1069.78249477874	2084.72086755397	3912.112566759	4549.73128446628	4847.24440303857	5244.91845861722	5153.4144706292	6166.3506659498	4534.64070935456	7004.97498428628	7693.14871564337	8306.55799009589	8610.36864717381	9211.2917330151	10252.7600856568
3.6	7247.88955881657	2823.83400401414	252.139069338976	533.491767440588	912.39920627733	1322.72545311662	1905.9524329026	2206.84248125194	2690.88668670495	3333.33394532457	3881.20426299288	4129.88362	3659.25727105444	3217.47210128867	3168.38776952914	1281.76187367762	3343.53967972526	2393.41467758293	3.05698347669579	1359.3193723268	2532.24741059971	4658.55532416658	10303.2010397594	13070.8183523853	15578.3883217627	17566.8481920669	18849.3501448631	16458.8105674263	15422.95290314	11645.73926	2682.20409702896	2768.21332262653	2686.02381312852	2320.34903033115	2.84833343626836	997.048890552639	1943.38327029544	3647.44626624411	4242.46179012323	4520.40710889934	4892.33591756193	4807.64651984456	5753.2548600103	4230.73521953512	6535.054469599	7179.06652872207	7752.08543179809	8036.99081687811	8599.82673658111	9574.2195880053
3.7	6755.55181703773	2633.63663027038	233.90256737447	494.995754697883	846.723372081811	1227.49713284545	1769.52444543364	2048.66072605731	2498.57657102253	3095.9857712749	3605.60643777097	3837.42159	3400.97428088887	2991.04739691176	2946.24622100521	1192.17680821087	3110.73834187722	2227.4784454142	2.84591994971521	1265.89577139689	2359.28008786001	4341.51188174965	9604.90241813371	12188.9490847731	14536.3185200112	16558.5210247429	17618.6761809521	17670.8456706234	14426.1242723895	11645.7392622092	2500.685159307	2582.67052371165	2506.82673219278	2165.93063785872	2.65890751163118	930.875133082492	1814.77414153413	3406.76662520465	3962.95883844671	4223.12771170976	4571.55957881376	4493.00618787677	5377.30520839866	3954.18224494283	6107.4531762867	6711.09961306128	7247.22791174704	7514.77532902161	8042.76498369361	8955.87479303738
3.8	6307.20871382217	2460.29270351896	217.403163209497	460.161643817669	787.279760656867	1141.34651068529	1645.98551757963	1905.35795611202	2324.34005561542	2880.8986702989	3355.82865784834	3572.27345	3166.74059126051	2785.629073206	2744.62491852813	1110.84269843147	2899.27691761201	2076.66865407298	2.65401061397245	1180.90319350926	2201.79021857718	4052.75573355687	8968.96207511756	11385.4894761557	13585.7628601565	15601.7600535901	16491.2183781818	16549.664804277	13511.6581066988	11645.7392622092	9335.68135534233	2413.57764898382	2343.57498052791	2025.25605731048	2.48625746223769	870.520539926998	1697.45871309815	3187.36216025799	3708.09190537954	3952.0755677915	4279.01361009339	4206.00205751087	5034.34366819357	3701.92575438781	5717.45937502217	6284.12471862336	6786.50077455366	7038.0857575902	7534.12768339434	8391.12917104003
3.9	5898.07315529892	2301.93108329327	202.436526048026	428.559325536751	733.337928550068	1063.21015454189	1533.83097354109	1775.23392806956	2166.10541799568	2685.51797740554	3128.90536691664	3331.31398	2953.81257646801	2598.83190425838	2561.20588371528	1036.83032606669	2706.76659862935	1939.30421324434	2.47913768376129	1103.41603402155	2058.09785277052	3789.2239991154	8388.58957485772	10651.9399777141	12716.9694928538	14696.2812579699	15456.7452906182	15519.5712940024	14542.3667368352	11645.7392622092	9335.68135534233	2259.10836451644	2194.49554332148	1896.7979608064	2.32852564718125	815.343900519468	1590.19452831646	2986.88486842509	3475.14906178782	3704.36463488947	4011.59845894293	3943.6065036248	4720.76295513295	3471.31275290641	5360.97825190091	5893.68887535983	6365.13158247926	6602.01456947615	7068.70750428698	7874.23482994813
