Energy	Air, Dry (near sea level)	Blood, Whole (ICRU-44)	Brain, Grey/White Matter (ICRU-44)	Breast Tissue (ICRU-44)	Bone, Cortical (ICRU-44)	Cadmium Telluride	Gallium Arsenide	Glass, Borosilicate (Pyrex)	Muscle, Skeletal (ICRU-44)	Polyethylene Terephthalate, (Mylar)	Polymethyl Methacrylate, (PMMA)	Polytetrafluoroethylene, (Teflon)	Polyvinyl Chloride, (PVC) 	Tissue, Soft (ICRU-44)	Water, Liquid	Adipose Tissue (ICRU-44)	PLA, (XCOM)
3	0.199247602	197.8590966	199.4136304	157.6907431	567.9497362	3654.331522	5151.751551	1162.784779	190.1872703	177.74273	147.0826147	542.468022	1223.44832	195.0966807	192.8978734	112.859004	157.57852
3.1	0.180766195	179.9787969	181.4633943	143.3287961	518.0734509	3395.302917	4729.177065	1057.104845	173.7193485	161.3660298	133.5410642	493.8362257	1126.366958	177.4683238	175.3793612	102.490284	143.1978
3.2	0.164435654	164.0589327	165.4598557	130.6282664	473.6580502	3173.5784	4351.82583	963.3056772	159.0506343	146.9031909	121.5797051	450.7283285	1039.122704	161.7736155	159.877565	93.33020673	130.50472
3.3	0.16697448	149.8845575	151.1918958	119.3606285	434.1056297	2983.785612	4013.841752	880.0516143	145.9495537	134.0884256	110.9796409	412.4009908	960.5387964	147.8004545	146.1170542	85.21140097	119.25808
3.4	0.153212922	137.264292	138.4712916	109.3331753	398.8837483	2821.325894	3710.243996	806.1571529	134.2179864	122.6980116	101.5564892	378.2242478	889.5957752	135.3600049	133.8651425	77.99289565	109.25693
3.5	0.140889935	126.0277403	127.130233	100.3828168	367.5182615	2682.262865	3436.780909	740.5700663	123.6860539	112.5429326	93.15437626	347.6625586	825.4090954	124.284144	122.9245888	71.55552058	100.33297
3.6	0.129827296	116.0231889	117.0191085	92.37103558	339.5869379	4623.39647	3189.810481	682.3564215	114.2077468	103.4629087	85.64105551	320.2592252	767.2099358	114.4231907	113.127632	65.79817023	92.34448
3.7	0.119871807	109.14505	111.3828071	85.17977072	314.7137759	4318.606403	2966.202197	651.6575811	105.657261	95.32153709	78.90392949	295.6235642	714.3287969	108.7624695	104.3311071	60.63475988	85.17161
3.8	0.11089145	100.94387	102.9848905	78.70805058	292.5639416	5038.993539	2763.256211	605.5351167	97.92592737	88.00232615	72.84679819	273.4203246	666.1815091	100.5979422	96.41243558	55.99173871	78.71248
3.9	0.102772163	93.53283	95.40493425	72.86922886	272.8392617	4747.450427	2578.636537	563.6032613	90.9196384	81.40544738	67.38719308	253.3609397	622.2573067	93.22083828	89.26632546	51.80605122	72.88014
